artist,title,writer,publisher,theme
Hasil Adkins,"Dottie, Dottie",H. Adkins,"Hoody|Rockabilly Music, BMI",
Hasil Adkins,Sex Crazy Baby,H. Adkins,"Hoody|Rockabilly Music, BMI",
Hasil Adkins,Do The Hot Pants With Me,H. Adkins,"Hoody|Rockabilly Music, BMI",
Hasil Adkins,She'll Be Comin' Round The Mountain,"H. Adkins, Trad. - Arr","Hoody|Rockabilly Music, BMI",
Link Wray,Facing All The Same Tomorrows,Vernon Wray,"Vernon Wray Music, BMI",
Hasil Adkins,Sally Wally Woody Waddy Weedy Wally,H. Adkins,"Hoody|Rockabilly Music, BMI",
Hasil Adkins,Miami Kiss,H. Adkins,"Hoody|Rockabilly Music, BMI",
Legendary Stardust Cowboy,Relaxation,Odam,"Chester Drawer, BMI",
Legendary Stardust Cowboy,I Ride A Tractor,Odam,"Chester Drawer, BMI",
Elroy Dietzel and the Rhythm Bandits,Teenage Ball,E. Dietzel,"Bouquet, BMI",
Elroy Dietzel and the Rhythm Bandits,Shangai Rock,J. Rhodes | E. Dietzel,"Tree, BMI",
Roy Loney and the Phantom Movers,Rockin' In The Graveyard,Morrell,"Burnt Oak, BMI",
Roy Loney and the Phantom Movers,Second Cousin,Loney,"Loney Tunes, ASCAP",
Roy Loney and the Phantom Movers,"Black Widow, The",Wray-Cooper,"Vernon Wray Music, BMI",
Roy Loney and the Phantom Movers,Evill Hearted Ada,Loney,"Loney Tunes, ASCAP",
Roy Loney and the Phantom Movers,Bop-a-Lena/Somethin' Else,Tillis/Pierce|Sheeley-Cochran,"Cedarwood, BMI | Money Honey,BMI",
Legendary Stardust Cowboy,Linda,Odam,"Chester Drawer, BMI",
Charlie Feathers,Rain,Feathers - Arr,no publishing on record,
Charlie Feathers,Way In The Night,Feathers-Huffman,no publishing on record,
Hasil Adkins and his Pumpin' Piano,,Khoury-Thierry,"Longhorn,BMI",
Real Kids The,Just Like Darts,Felice,Greenline|Bug BMI,
Lyres,Boston,Gene Clark,Tickson BMI,
Lyres,Shake It Some More,Sheridan,Jay Jays Biem,
Hasil Adkins,Santa Claus Boogie,Adkins,publishing pending,holiday|christmas
Hasil Adkins,Blue Christmas,Hayes|Johnson,publishing pending,holiday|christmas
Charlie Feathers,Dig Myself A Hole,Arthur Crudup,Unichappel BMI,
Charlie Feathers,Let's Live A Little,Coletharp,Aprs Music BMI,
Ronnie Self,Bop-a-Lena,Tills/Pierce,"Cedarwood, BMI",
Ronnie Self,Rocky Road Blues,B. Monroe,"APRS, BMI",
Ronnie Self,Flame Of Love,D. Burgess,"Golden West Melodies, BMI",
Ronnie Self,WTOL Radio Interview,radio interview,radio interview,
Hasil Adkins The One Man Band,She's Mine #2,H. Adkins,BMI,
Charlie Feathers,Jungle Fever,Feathers|Maupin,Kahn Pub. BMI,
Charlie Feathers,Why Don't You,Chastain|Huffman,Kahn Pub. BMI,
Jody Chastain,My My,Chastain,Kahn Pub. BMI,
Jody Chastain,Jody's Beat,Chastain,Kahn Pub. BMI,
Tyrone Schmidling,Honey Don't,Carl Perkins,BMI,
Flat Duo Jets,I'll Have A Merry Christmas Without You,Dex Romweber,JP five BMI,holiday|christmas
Flat Duo Jets,Caravan,Ellington|Tizol|Mills,American Academy Of Music,holiday|christmas
"Gentrys, The",Wild,R.A Katzakian|A.L Dote,publishing pending,
Renegades V,Wine Wine Wine,writer pending,publishing pending,
Twiliters,Rollerland,writer pending,publishing pending,
Screamin' Joe Neal,Tell Me Pretty Baby,Archie Shippings,publishing pending,
"Hentchmen, The",Mean '37,writer pending,publishing pending,
"Hentchmen, The",Farfisa and The Airline,writer pending,publishing pending,
Lyres,Give Your Love To Me (come on),Hanusch - Campbell,Oktave BMI,
Lyres,Security,Redding,"Irving, BMI",
Jackie & the Cedrics,Sukiyaki Stomp,writer pending,publishing pending
Jackie & the Cedrics,Justine,writer pending,publishing pending
"Yetti-Men, The",My Baby Left Me,writer pending,publishing pending
"Yetti-Men, The",Break Time,writer pending,publishing pending
"Neanderthals, The",2000 lb. Werewolf,Eddie Angel,"Eddie Angel Music, BMI"
"Kaisers, The",Hipshake Shimmy Kitten,Miller,Copyright Control
"Kaisers, The",I Can Tell,Samuels|McDaniel,Jewel Music Ltd.
"Kaisers, The",Watch Your Step,Parker,Tro-Essex Music
"Kaisers, The",Alligator Twist,Miller,Copyright Control
Andre Williams,Gin,G. Paulus|A. Williams,"Be Seeing You Music, BMI"
Jackie & the Cedrics,Cottonpickin',writer pending,publishing pending
Jackie & the Cedrics,Wine Wine Wine,writer pending,publishing pending
Danny Zella And The Zell Rocks,Wicked Ruby,Zella,"Jet-Eye, BMI"
Danny Zella And The Zell Rocks,Black Saxes,Zella,"Jet-Eye, BMI"
Danny Zella And The Zell Rocks,You Made Me Blue,Zella,"Jet-Eye, BMI"
Danny Zella And The Zell Rocks,Zebra,Gorelick|Skalar,"Parkwood, BMI"
Danny Zella And The Zell Rocks,Youngster Meets Monster,Gorelick|Skalar,"Parkwood, BMI",
Danny Zella And The Zell Rocks,Louie Go Home,Revere|Lindsay,"Daywin, BMI",
"Kaisers, The",Merry Christmas Loopy Lu,G. Miller,Happy Krimble,holiday|christmas
"Kaisers, The",Tipsy,G. Miller,"Drive Safely, BMI",holiday|christmas|booze
Jackie & the Cedrics,Silent Night Rumble,writer pending,publishing pending,holiday|christmas
Jackie & the Cedrics,Santa Claus Is Coming To Town,writer pending,publishing pending,holiday|christmas
"Hentchmen, The",Red River Rock,King|Mack|Mendelsohn,publishing pending,
"Hentchmen, The",Why Did God Make Girls,McLaughlin,publishing pending,
"Untamed Youth, The",Go Girl Go,writer pending,publishing pending,
"Untamed Youth, The",Hot Lips Baby,Herbie Duncan,publishing pending,
"Church Keys, The",Peephole,Church Keys,Key Of Ale,
"Church Keys, The",Staggerin',Jon Chalmers,Key Of Ale,
Gene Summers with the Rebels,Nervous,Tarver,"Ted Music, BMI",
Gene Summers with the Rebels,Gotta Lotta That,Belwell,"Song Productions inc, BMI",
Gene Summers with the Rebels,Twixteen,Tarver,"Ted Music, BMI",
Hasil Adkins and his Happy Guitar,Seasick Cruise,writer pending,publishing pending,
Hasil Adkins and his Happy Guitar,Chocolate milk Honeymoon,writer pending,publishing pending,
Terry Lee and The Poor Boys,My Little Sue,Terry Lee,publishing pending,
Terry Lee and The Poor Boys,Driftin,Dave Pederson,publishing pending,
Terry Lee and The Poor Boys,Hound Dog,Leiber|Stoller,publishing pending,
Terry Lee and The Poor Boys,Whole Lotta Shakin' Goin' On,Williams|David,publishing pending,
"Sonics, The",Don't Believe In Christmas,G.Roslie,publishing pending,holiday|christmas
"Sonics, The",Santa Claus,G. Roslie,publishing pending,holiday|christmas
"Hentchmen, The ",Come On Santa,writer pending,publishing pending,holiday|christmas
"Hentchmen, The ",Merry Christmas Baby,writer pending,publishing pending,holiday|christmas
Andre Williams Mr. Rhythm,Poor Mr. Santa,Andre Williams,publishing pending,holiday|christmas|adult
Andre Williams Mr. Rhythm,Poor Mr. Santa,Andre Williams,publishing pending,holiday|christmas
Don & The Galaxies,Sundown,Underwood|Roberts|Strait,publishing pending,
Don & The Galaxies,Avalanche,Underwood|Roberts|Strait,publishing pending,
"Novas, The",The Cruiser,writer pending,publishing pending,
"Novas, The",Take 7,writer pending,publishing pending,
"Novas, The",On The Road Again,writer pending,publishing pending,
"Novas,The",My Sin My Pride,writer pending,publishing pending,
Gene Vincent and his Blue Caps,My Love (In Love Again),G. Vincent,publishing pending,
Gene Vincent and his Blue Caps,In My Dreams,B. Bedwell,publishing pending,
Gene Vincent and his Blue Caps,The Night Is So Lonely,C. Simmons|G.Vincent,publishing pending,
Gene Vincent and his Blue Caps,Lonesome Boy,B. Bedwell,publishing pending,
"Church Keys, The",Oogy Wawa,Church Keys,publishing pending,
"Pretty Things, The",All Light Up,Holland|St. John|May,Copyright Control,
"Pretty Things, The",Vivian Prince,May|Holland|Povey,Copyright Control,
"Wailers, The",Scotch On The Rocks,R. Dangel|J. Greek|K. Morrill,C.F.G Publishing,
"Wailers, The",Snake Pit,R. Dangel|J. Greek,C.F.G Publishing,
"Wailers, The",Dirty Robber ,R. Dangel|J. Greek|K. Morrill,C.F.G Publishing,
"Wailers, The",High Wall,R. Dangel|J. Greek,C.F.G Publishing,
"Swinging' Neckbreakers, The",Santa Claus Ain't Coming This Year,T. Jorgensen,"Neckbreaker Music, BMI",holiday|christmas
"Swinging' Neckbreakers, The",Under The Christmas Three,T. Jorgensen,"Neckbreaker Music, BMI",holiday|christmas
Rudy Ray Moore,Whatcha Gonna Do,Negutre,Unichappel BMI,
Gene Carroll and The Shades,Red Devil,Anderson|Syverson,publishing pending,
Question Mark and The Mysterians,Sally Go Round The Roses,Abner Spector,"Bonnyview, ASCAP",
Question Mark and The Mysterians,It's Not Easy,R. Martinez,"Mysterian Music, BMI",
Lou Reed,Your Love,Lewis Reed,publishing pending,
Lou Reed,So Blue,Phil Harris|Lewis Reed,publishing pending,
Lou Reed,Leave Her Home,Lewis Reed,publishing pending,
"Wildebeests, The ",Rudolph's Ruin,Gibbs|Helsing|Wilkins,publishing pending,holiday|christmas
"Wildebeests, The ",Plum Duff,Gibbs|Helsing|Wilkins,publishing pending,holiday|christmas
Jerry Lee Lewis,Wild One,O'Keefe|Greenan|Owens,publishing pending,
Jerry Lee Lewis,High School Confidential,Hargrave,publishing pending,
"Monacles, The",Heartaches For Me,Marlow Hendrix,publishing pending,
"Creations, The",I'm Mad,The Creations,publishing pending,
"Creations, The",Soul And Feeling,The Creations,publishing pending,
"Creations, The",To Whom It May Concern,The Creations,publishing pending,
"Dictators, The",New York New York,Shernoff,Shernoff Music,
"Triumphs, The",Susie In My Hist'ry Class,Thorn|Valentine|Decimber|Moldenhauer,Tri Music Inc ASCAP,
"Triumphs, The",Surfside Slave,Thorn|Valentine|Decimber|Moldenhauer,Tri Music Inc ASCAP,
"Triumphs, The",Memphis Baby,Thorn|Valentine|Decimber|Moldenhauer,Tri Music Inc ASCAP,
"Triumphs, The ",Don't Hurt Your Knees (You Might Need 'em To Pray),Williams|Verta Ray,"Hoody|Marsupial parley Vous, BMI",
"Johnny Burnette and the Rock n, Roll Trio",Tear it Up,Johnny Burnette|Dorsey Burnette|Paul Burlison,publishing pending,
"Johnny Burnette and the Rock n, Roll Trio",Oh Baby Babe,Johnny Burnette|Dorsey Burnette|Paul Burlison|A. Mortimer,,
Nathaniel Mayer,I Don't Want No Bald Headed Woman Telling Me What To Do(instrumental),Mayer,"Washpan, BMI",
"Sabres, The",Puppet,A. Deal,publishing pending,
"Sabres, The",Take Up The Slack Daddy-O,R. Mauney,publising pending,
"Sabres, The",Spider Walk,L. Gittens|A.Deal,publising pending,
Kid Thomas,You Heard What I Said,writer pending,Darban and House Of Fortune,
Kid Thomas,Wail Baby Wail,writer pending,Pookie Music,
Kid Thomas,Lookie There,writer pending,Pookie Music,
Little Joe Farr,Rock And Roll Santa,J. Farr| T. Farr,Band Box,holiday|christmas
Brendan Hanlon & The Bat Men,Christmas Party,Levy|Hanlon,Bat Recordings,holiday|christmas
Toronados,Santa Claus,Toronados,Toro,holiday|christmas
Donny Burns,Cool Yule,Burns,Arc ,holiday|christmas
Roky Erickson and the Aliens,Wake up To Rock and Roll,Erickson,"Orb Music, BMI",
Roky Erickson and the Aliens,Things That Go Bump In The Night,Erickson,"Orb Music, BMI",
Daryl Britt and The Blue Jeans,Cool Martini,Blue Jeans,publishing pending,
