title,artist,catalogue,writer,publisher,theme
Lonely Wolf ,The Flat Duo Jets ,CED-250,Ray Harris,,
I'm So Sick Of Everything (Live) ,Figures of Light ,CED-336,,,
One More Time #2 ,Roy Head And The Traits ,CED - 358,Head-Gibson-Bolton-Frazier-Buie-Pennington,,
Got to Be Swinging Along ,Various Artists ,Norton/Massabesic105,,,
Jerkin' the Dog ,The Mighty Hannibal ,CED290,James T. Shaw,,
Black Sun ,Stud Cole ,CED293,,,
Hi Teen Interview ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss,,
Jumpin' Jack Flash ,The Flamin' Groovies ,CED 297,Jagger - Richards,,
Wolfman ,Bobby Fuller ,CED 318,,,
Long Lanky Lena ,Various Artists ,ED 360,C. Taylor,,
I Don't Care ,Mary Weiss ,CED-323,Greg Cartwright,,
Get On Board ,King Coleman ,CED298,Coleman-Lowe,,
That Jim ,The A-Bones ,CED-219,M. Beers,,
Chicken ,Various Artists ,,Munsey,,
The Thrill Killers ,Ron Haydock & The Boppers ,CED 247,,,
Quarter To Two ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,"Barge, Guida, Anderson, Royster "
Cradle Rock ,Various Artists ,ED-372,Galleges 
Journey To The Stars ,Various Artists ,CED275,
Get Home Girl ,The A-Bones ,CED-233,B. Miller-M. Natale
Grunlins ,Various Artists ,CNW-906,
Johnny Come Listen ,Charlie Feathers ,CED246,C. Feathers
Honeysuckle Rose ,Sun Ra ,CED-353,"T. Waller, A. Razaf "
Ittie Bittie Everything (Demo) ,Benny Joy ,ED-347,Benny Joy Eidson-John Taylor
With a Girl Like That ,Figures of Light ,ED-377,"Wheeler Dixon, Michael Downey "
Time Is All ,Various Artists ,CED304,
Has Anybody Walked Beside Me ,Hasil Adkins ,CED-216,Hasil Adkins
Night All Day ,Flat Duo Jets ,CED-241,Dex Romweber
You Get What You Deserve (Live) ,Big Star ,CED265,Chilton
Bamboo Rock And Roll ,The A-Bones ,CED-310,Legiaire-Peale
We're Getting Closer To Being Apart ,Charlie Feathers ,CED-333,
Don't Be Telling Me ,John Felice & The Lowdowns ,CED-302,J. Felice
Wild Weekend ,The Rivieras ,CED-278,Shannon-Todaro 
Bigger Than Greed Or Need ,Andre Williams ,CED288,Williams-Verta-Ray
I Hear A Sweet Voice Callig ,Hasil Adkins ,CED-239,
Little Forty Ford ,Various Artists ,CNW-911,
My Catalina ,The Hentchmen ,CED-257,The Hentchmen
Whole Lotta Shakin' Goin' On ,Bobby Fuller ,CED260,
Keep A Knockin' (Live) ,The Flamin' Groovies ,CED 243,Penniman
Mau-Mau ,The Wailers ,CNW 901,
Patty Baby ,Terry Manning and The Wild Ones ,ED-374,Feldman-Gotherer-Goldstein-Cannon 
Theme From Eegah ,"Arch Hall, Jr. & The Archers ",CED307,
All Night Boppin' ,The Real Kids ,CED-231,J. Felice
The Monkey ,Various Artists ,CED-317,
Surfer Blues ,The Ready Men ,CED244,Ready
Don't Get Left Behind ,The Alarm Clocks ,CED-321,Mike Pierce
Memories Of A High School Bride ,Kim Fowley ,CED-356,K. Fowley 
Cutie Pie ,Benny Joy ,ED-349,John Taylor
Monkey Man ,A-Bones ,CED-310,Ross 
WHK Jingle ,The Mad Daddy ,CED300,P. Myers
Sweet Skinny Jenny ,Esquerita ,CED-202,
Crazy Blues ,Flat Duo Jets ,CED-230,J.P. Richardson
Full Blown 426 Hemi ,The Untamed Youth ,CED263,
Made In The Shade w/Ron Loney ,The A-Bones ,CED-310,Dunlop
It's A Lie ,Various Artists ,,A. A. Khan
The Scheme Of Words ,Sun Ra ,ED-367,Sun Ra 
Renegade ,Various Artists ,CED-228,F. Jameson
Cookin' Chicken 1999 ,Hasil Adkins ,CED281,Hasil Adkins
Rockin' The Blues ,Various Artists ,CED-235,
Hey Mrs. Jones ,The Sonics ,CNW-909,Regan-Miller
I'm Gonna Move ,The A-Bones ,CED-254,Benny Joy Eidson
Eastwood High Dance Radio Spot ,Bobby Fuller ,CED252,B. Fuller
Strings Of Rhyme ,Various Artists ,ED 344,
Roaches ,Various Artists ,CED-271,
Archers Theme Outro ,"Arch Hall, Jr. & The Archers ",CED307,
Mumbo Jumbo ,The A-Bones ,CED-224,Billy Miller
Sea Of Love ,Various Artists ,CED-314,
Little Latin Lupe Lu ,Link Cromwell & The Zoo ,CED273,
I Just Want To Have Something To Do ,The Dictators ,CED-319,
Stop And Think It Over ,Various Artists ,,Greg Cartwright
Not For Love Or Money ,Various Artists ,CED-910,
Hittin' On Nothing (Version 2) ,Esquerita ,ED-381,Naomi Neville 
